accession_name	food_name	main_ingredient	ingredient_group	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
ERR2135449	tea fermented	tea leaves	Botanical	MAG_1	Variovorax sp900115375	0.0118	97.15	0.141	94.21	0.63	506	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Variovorax
ERR2135449	tea fermented	tea leaves	Botanical	MAG_307	Mesorhizobium terrae	0.0028	95.29	0.086	69.69	3.71	764	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium
ERR2135449	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.3	Caldimonas aquatica	0.0023	95.48	0.071	100	0.31152648	132	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Caldimonas
ERR2135457	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939580__bin.2	Komagataeibacter xylinus C	78.0168	100	1928	99.53057294	0.124378109	71	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135457	tea fermented	tea leaves	Botanical	GCF_011611525.1_ASM1161152v1_genomic	Komagataeibacter rhaeticus	10.846	98.09	207	100	0	6	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135457	tea fermented	tea leaves	Botanical	MAG_148	Komagataeibacter spp.	6.5789	97.8	206	59.07	7.43	128	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135457	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939593__bin.5	Novacetimonas entanii	3.7386	99.97	105	98.00995025	0	66	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Novacetimonas
ERR2135457	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	0.5868	99.86	3.868	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135457	tea fermented	tea leaves	Botanical	MAG_98	Sphingomonas sp017418975	0.0371	99.91	0.732	79.4	3.25	605	Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ERR2135457	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.3	Caldimonas aquatica	0.0309	99.69	0.64	100	0.31152648	132	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Caldimonas
ERR2135457	tea fermented	tea leaves	Botanical	MAG_34	Cutibacterium acnes	0.0226	99.77	0.632	99.27	0.2	78	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium
ERR2135457	tea fermented	tea leaves	Botanical	MAG_367	Afipia spp.	0.0249	98.57	0.464	51.79	4.34	887	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia
ERR2135457	tea fermented	tea leaves	Botanical	MAG_31	Methyloversatilis discipulorum A	0.0234	99.61	0.428	95.92	3.04	160	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis
ERR2135457	tea fermented	tea leaves	Botanical	MAG_307	Mesorhizobium terrae	0.0163	99.63	0.334	69.69	3.71	764	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium
ERR2135457	tea fermented	tea leaves	Botanical	MAG_1	Variovorax sp900115375	0.038	99.72	0.305	94.21	0.63	506	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Variovorax
ERR2135457	tea fermented	tea leaves	Botanical	MAG_308	Thermus scotoductus	0.0058	98.9	0.228	78.14	1.48	427	Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus
ERR2135457	tea fermented	tea leaves	Botanical	MAG_52	Lysobacter F thermophilus	0.0071	98.4	0.182	90.48	0.55	230	Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter_F
ERR2135457	tea fermented	tea leaves	Botanical	MAG_2	Bradyrhizobium sp002831585	0.0152	97.82	0.132	95.74	2.78	579	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium
ERR2135457	tea fermented	tea leaves	Botanical	MAG_37	LDYB01 sp001442985	0.0046	97.2	0.109	96.3	0	142	Armatimonadota;Fimbriimonadia;Fimbriimonadales;GBS-DC;LDYB01
ERR2135457	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.10	JANWVO01 sp026002855	0.007	98.15	0.109	96.5337132	1.709401709	146	Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;JANWVO01
ERR2135518	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939580__bin.2	Komagataeibacter xylinus C	33.6219	99.98	1169	99.53057294	0.124378109	71	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135518	tea fermented	tea leaves	Botanical	MAG_148	Komagataeibacter spp.	19.3625	97.79	853	59.07	7.43	128	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135518	tea fermented	tea leaves	Botanical	GCF_011611525.1_ASM1161152v1_genomic	Komagataeibacter rhaeticus	30.9848	98.27	832	100	0	6	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135518	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939593__bin.5	Novacetimonas entanii	12.8814	100	509	98.00995025	0	66	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Novacetimonas
ERR2135518	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.3	Caldimonas aquatica	0.6519	100	19	100	0.31152648	132	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Caldimonas
ERR2135518	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	1.1716	99.99	10.864	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135518	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.10	JANWVO01 sp026002855	0.4692	100	10.285	96.5337132	1.709401709	146	Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;JANWVO01
ERR2135518	tea fermented	tea leaves	Botanical	MAG_37	LDYB01 sp001442985	0.2201	100	7.3	96.3	0	142	Armatimonadota;Fimbriimonadia;Fimbriimonadales;GBS-DC;LDYB01
ERR2135518	tea fermented	tea leaves	Botanical	MAG_308	Thermus scotoductus	0.1166	99.97	6.5	78.14	1.48	427	Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus
ERR2135518	tea fermented	tea leaves	Botanical	MAG_52	Lysobacter F thermophilus	0.142	99.94	5.134	90.48	0.55	230	Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter_F
ERR2135518	tea fermented	tea leaves	Botanical	MAG_366	Anoxybacillus spp.	0.1	99.05	3.852	65.04	7.56	646	Bacillota;Bacilli;Bacillales;Anoxybacillaceae;Anoxybacillus
ERR2135518	tea fermented	tea leaves	Botanical	MAG_34	Cutibacterium acnes	0.0814	99.75	3.211	99.27	0.2	78	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium
ERR2135518	tea fermented	tea leaves	Botanical	MAG_31	Methyloversatilis discipulorum A	0.0941	99.92	2.418	95.92	3.04	160	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis
ERR2135518	tea fermented	tea leaves	Botanical	LeechJ_2020__ERS3967723__bin.17	Komagataeibacter xylinus	0.0339	95.49	1.169	98.17846253	3.814262023	376	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135518	tea fermented	tea leaves	Botanical	MAG_367	Afipia spp.	0.0168	97.64	0.44	51.79	4.34	887	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia
ERR2135518	tea fermented	tea leaves	Botanical	MAG_1	Variovorax sp900115375	0.0302	98.82	0.34	94.21	0.63	506	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Variovorax
ERR2135518	tea fermented	tea leaves	Botanical	MAG_98	Sphingomonas sp017418975	0.0106	98.36	0.293	79.4	3.25	605	Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ERR2135518	tea fermented	tea leaves	Botanical	MAG_307	Mesorhizobium terrae	0.0095	97.88	0.273	69.69	3.71	764	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium
ERR2135518	tea fermented	tea leaves	Botanical	AlvarezOrdonezA_xxxx__Q06-25__bin.5	Staphylococcus epidermidis	0.0017	95.89	0.068	99.79794993	0.113697164	88	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus
ERR2135519	tea fermented	tea leaves	Botanical	MAG_148	Komagataeibacter spp.	22.5817	97.8	1154	59.07	7.43	128	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135519	tea fermented	tea leaves	Botanical	GCF_011611525.1_ASM1161152v1_genomic	Komagataeibacter rhaeticus	36.1814	98.38	1127	100	0	6	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135519	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1875938__bin.4	Zygosaccharomyces bailii	33.8378	100	364	99.5	0.3	155	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces
ERR2135519	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939580__bin.2	Komagataeibacter xylinus C	4.4877	99.95	181	99.53057294	0.124378109	71	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135519	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939593__bin.5	Novacetimonas entanii	2.4871	100	114	98.00995025	0	66	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Novacetimonas
ERR2135519	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.3	Caldimonas aquatica	0.1234	99.88	4.173	100	0.31152648	132	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Caldimonas
ERR2135519	tea fermented	tea leaves	Botanical	MAG_31	Methyloversatilis discipulorum A	0.0579	100	1.726	95.92	3.04	160	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Methyloversatilis
ERR2135519	tea fermented	tea leaves	Botanical	MAG_1	Variovorax sp900115375	0.0875	99.89	1.144	94.21	0.63	506	Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Variovorax
ERR2135519	tea fermented	tea leaves	Botanical	MAG_52	Lysobacter F thermophilus	0.0255	99.93	1.071	90.48	0.55	230	Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter_F
ERR2135519	tea fermented	tea leaves	Botanical	MAG_367	Afipia spp.	0.0286	99.47	0.869	51.79	4.34	887	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia
ERR2135519	tea fermented	tea leaves	Botanical	MAG_98	Sphingomonas sp017418975	0.0243	99.78	0.784	79.4	3.25	605	Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ERR2135519	tea fermented	tea leaves	Botanical	MAG_307	Mesorhizobium terrae	0.0151	99.78	0.503	69.69	3.71	764	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium
ERR2135519	tea fermented	tea leaves	Botanical	MAG_308	Thermus scotoductus	0.0075	99.47	0.488	78.14	1.48	427	Deinococcota;Deinococci;Deinococcales;Thermaceae;Thermus
ERR2135519	tea fermented	tea leaves	Botanical	OlgaP_2019__SRR11909888__bin.7	Komagataeibacter oboediens	0.0106	97.46	0.379	99.65	0.45	75	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2135519	tea fermented	tea leaves	Botanical	ArikanM_2020__ERS1939655__bin.10	JANWVO01 sp026002855	0.0122	99.35	0.311	96.5337132	1.709401709	146	Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;JANWVO01
ERR2135519	tea fermented	tea leaves	Botanical	MAG_366	Anoxybacillus spp.	0.0067	97.98	0.299	65.04	7.56	646	Bacillota;Bacilli;Bacillales;Anoxybacillaceae;Anoxybacillus
ERR2135519	tea fermented	tea leaves	Botanical	MAG_2	Bradyrhizobium sp002831585	0.0167	97.02	0.238	95.74	2.78	579	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium
ERR2135519	tea fermented	tea leaves	Botanical	MAG_34	Cutibacterium acnes	0.004	96.39	0.183	99.27	0.2	78	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium
ERR2135519	tea fermented	tea leaves	Botanical	MAG_37	LDYB01 sp001442985	0.0041	97.64	0.16	96.3	0	142	Armatimonadota;Fimbriimonadia;Fimbriimonadales;GBS-DC;LDYB01
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_116	Leuconostoc pseudomesenteroides	6.0482	99.95	37	51.9	1.59	467	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK023-1-L-48h-02G3_S117__bin.1	Leuconostoc pseudomesenteroides	10.0692	97.81	35	99.82363316	0	29	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
ERR2231567	coffee	coffee bean	Cocoa_Coffee	SternesPR_2017__Y2D1_A_shotgun__bin.3	Hanseniaspora uvarum	31.0652	99.83	25	79.9	0	389	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
ERR2231567	coffee	coffee bean	Cocoa_Coffee	DuR_2020__DRS139334__bin.19	Pichia kluyveri	15.8985	99.32	9.656	76.7	0	3007	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231567	coffee	coffee bean	Cocoa_Coffee	PothakosV_2020__ERS2068300__bin.15	Cellulosimicrobium funkei	4.5112	99.87	7.44	100	1.107899807	198	Actinomycetota;Actinomycetes;Actinomycetales;Cellulomonadaceae;Cellulosimicrobium
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LimaC_2020__SRR9640356__bin.14	Acetobacter thailandicus	2.3432	99.82	7.001	99.54	0.1	59	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_140	Frateuria spp.	2.7761	99.83	6.607	84.26	4.7	833	Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Frateuria
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_200	Tatumella punctata	4.2191	99.63	5.605	52.23	8.62	1006	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Tatumella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK006-1-L-48h-01H4_S46__bin.8	Gluconobacter cadivus	2.0255	98.76	5.187	99.00497512	0	64	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	G_514_1B_orientalis_assembly	Acetobacter orientalis	2.1223	98.99	4.76	100	0	34	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LimaC_2020__SRR9640355__bin.26	Pantoea communis	2.1876	97.07	3.908	77.01	3.71	769	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_331	Pectobacterium brasiliense	1.1075	99.53	3.77	51.72	6.9	653	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pectobacterium
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LeechJ_2020__ERS3967694__bin.3	Starmerella bacillaris	4.1779	98.76	3.179	70.1	0.6	731	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;Starmerella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	EBC_082.15	Kosakonia cowanii	1.1864	99.29	1.754	92.69	4.54	82	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia
ERR2231567	coffee	coffee bean	Cocoa_Coffee	ChaconVargasK_2020__SRS6087088__bin.16	Rahnella spp.	0.8481	99.16	1.718	74.6536524	4.88497568	730	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Rahnella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin.2	Gluconobacter A cerinus	0.5627	98.91	1.463	99.50248756	0	40	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconobacter_A
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK001-2-L-48h-01F4_S28__bin.6	Acetobacter papayae	0.6498	99.32	1.454	98.50746269	0.497512438	131	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	GCF_015244665.1_ASM1524466v1_genomic	Gluconobacter A japonicus	0.6549	99.1	1.411	100	0	25	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconobacter_A
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LimaC_2020__SRR9640353__bin.23	Tatumella citrea	0.7991	99.88	1.284	90.8	2.84	259	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Tatumella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LimaC_2020__SRR9640346__bin.27	Tatumella terrea	0.5158	99.36	1.215	72.2	3.42	471	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Tatumella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	SRR10454516C127_okinawensis_assembly	Acetobacter okinawensis A	0.4218	99.03	1.089	99.5	0	40	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	KharnaiorP_2023__SRR22859377__bin.2	Brucella pseudogrignonensis	0.6169	99.17	1.042	84.07	2.33	484	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Brucella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MotaGutierrezJ_2021__SRR11602152__bin.2	Frateuria aurantia	0.4954	95.24	1.013	99.97	0.35	165	Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Frateuria
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK029-1-L-48h-03A3_S22__bin.5	Gluconobacter albidus	0.3704	99.46	0.962	96.51741294	0.248756219	104	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK059-2-L-48h-04H3_S37__bin.8	Gluconobacter A oxydans A	0.3861	95.71	0.939	81.29090009	3.814262023	625	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Gluconobacter_A
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_15	Acetobacter fabarum	0.3244	99.47	0.857	100	0.25	21	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_333	Pseudomonas E parafulva	0.3194	99.76	0.849	51.9	0	827	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_501	Lactococcus lactis	0.243	99.22	0.739	100	0	46	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	KharnaiorP_2023__SRR22859377__bin.10	Enterococcus D sp001297065	0.2467	97.86	0.636	87.3	1.14	139	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MotaGutierrezJ_2021__SRR11602150__bin.9	Levilactobacillus brevis	0.1937	99.21	0.582	99.42	0	110	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LiZ_2019__SRS3379157__bin.3	Enterobacter mori	0.3438	98.78	0.504	99.44609788	0.639880952	195	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin.6	Acetobacter persici	0.2163	98.85	0.503	99.50248756	0.497512438	86	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_45	Enterococcus D casseliflavus	0.1611	97.47	0.438	85.45	0.19	536	Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus_D
ERR2231567	coffee	coffee bean	Cocoa_Coffee	FalardeauJ_2023__SRR20811279__bin.3	Lactiplantibacillus plantarum	0.1704	98.86	0.381	99.97	0.24	56	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MotaGutierrezJ_2021__SRR11602140__bin.22	Pantoea dispersa	0.1812	98.05	0.345	76.3	2.56	977	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pantoea
ERR2231567	coffee	coffee bean	Cocoa_Coffee	FontanaF_2023__SRR20746869__bin.1	Enterobacter asburiae B	0.1404	95.13	0.322	69.12	1.15	872	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	OlgaP_2019__SRR11910536__bin.9	Novacetimonas hansenii	0.1198	99.55	0.285	100	0.17	27	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Novacetimonas
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_329	Agrobacterium cucumeris	0.123	96.07	0.26	64.67	2.33	1160	Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LeechJ_2020__ERS3967702__bin.2	Chishuiella spp.	0.1006	96.02	0.242	92.96187683	4.838709677	497	Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chishuiella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MotaGutierrezJ_2021__SRR11602143__bin.12	Asaia bogorensis	0.0629	96.85	0.24	53	1.46	610	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Asaia
ERR2231567	coffee	coffee bean	Cocoa_Coffee	GCF_001787355.1_ASM178735v1_genomic	Kozakia baliensis	0.1018	99.15	0.229	99.63	1	6	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Kozakia
ERR2231567	coffee	coffee bean	Cocoa_Coffee	EBC_035.5	Tatumella spp.	0.0775	98.68	0.222	72.62	3.99	379	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Tatumella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	DeFilippisF_xxxx__DF_79__bin.11	Enterobacter kobei	0.1291	95.66	0.194	97.69107439	3.103250916	144	Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_482	Pseudomonas_E spp.	0.1123	95.83	0.171	96.41	0.64	229	Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK027-1-L-48h-02I4_S14__bin.10	Acetobacter indonesiensis	0.0673	95.89	0.148	100	0	44	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LeechJ_xxxx__AF68__bin.3	Paucilactobacillus vaccinostercus	0.0503	98.24	0.131	97.2826087	2.581521739	150	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	YulandiA_2020__SRS6115052__bin.21	Weissella paramesenteroides	0.0322	98.2	0.121	98.36400818	0	104	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
ERR2231567	coffee	coffee bean	Cocoa_Coffee	G_361_1B_senegalensis_assembly	Acetobacter senegalensis	0.0633	96.56	0.117	100	0	69	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MAG_334	Lacticaseibacillus spp.	0.0475	98.59	0.116	97.73	4.14	163	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LeechJ_xxxx__AF68__bin.1	Lactococcus hircilactis	0.0305	99.32	0.114	90.78616352	1.608845608	428	Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK029-2-G-48h-04A5_S105__bin.1	Liquorilactobacillus hordei	0.0289	97.78	0.087	99.47643979	0	27	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Liquorilactobacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	178	Staphylococcus carnosus	0.0283	96.49	0.077	98.9	1.1	13	Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.1156	99.76	0.077	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK004-2-L-48h-01G7_S40__bin.2	Komagataeibacter saccharivorans	0.0349	97.82	0.076	100	0	136	Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Komagataeibacter
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MortensenS_xxxx__WK007-2-G-48h-01D1_S7__bin.5	Liquorilactobacillus hordei	0.0105	100	0.075	52.682939	0	364	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Liquorilactobacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	LandisEA_2021__SRS5653152__bin.2	Furfurilactobacillus milii	0.0247	95.13	0.068	99.45652174	1.358695652	18	Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Furfurilactobacillus
ERR2231567	coffee	coffee bean	Cocoa_Coffee	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0397	98.09	0.038	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
