accession_name	food_name	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
SRR13308534	koumiss	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	0.6624	99.81	8.066	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR13308534	koumiss	EBC_024.4	Kluyveromyces marxianus	0.0569	98.42	0.717	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13308534	koumiss	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.027	98.93	0.223	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR13308534	koumiss	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.0084	99.2	0.091	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR13308534	koumiss	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.0022	98.19	0.036	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR13308542	koumiss	EBC_024.4	Kluyveromyces marxianus	2.7724	98.64	27	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13308542	koumiss	GCF_011074885.1_ASM1107488v2_genomic	Brettanomyces bruxellensis	1.8725	96.32	14.073	98.76	0.21	9	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Brettanomyces
SRR13308542	koumiss	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.0146	98.71	0.121	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
SRR13308542	koumiss	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.0058	96.27	0.074	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR13308542	koumiss	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.0128	97.83	0.059	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR13308542	koumiss	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.0057	96.44	0.052	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR13496620	cheese araxa	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	9.4699	99.39	6.317	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR13496620	cheese araxa	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.4907	99.99	0.484	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13496620	cheese araxa	C-R03.bin.3	Scheffersomyces stipitis	0.277	99.86	0.216	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR13496620	cheese araxa	AlvarezOrdonezA_xxxx__C08-18__bin.12	Kurtzmaniella spp.	0.0684	99.84	0.113	51.6	0.4	482	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR13496620	cheese araxa	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.0629	96.4	0.103	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR13496620	cheese araxa	MASTER_WP4_CSIC_2__P2556__bin.21	Candida intermedia	0.1071	99.75	0.087	99.4	0	149	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR13496620	cheese araxa	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.069	98.9	0.06	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR13496620	cheese araxa	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.1166	96.37	0.056	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR13496620	cheese araxa	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0357	96.37	0.051	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
SRR13496623	cheese canastra	C-R03.bin.3	Scheffersomyces stipitis	2.2987	99.96	1.298	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR13496623	cheese canastra	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.4756	99.51	0.3	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR13496623	cheese canastra	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.2188	99.74	0.131	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR13496623	cheese canastra	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.0819	98.9	0.058	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13496623	cheese canastra	MASTER_WP4_CSIC_2__P2596__bin.7	Candida atlantica	0.0705	100	0.047	94.9	0	371	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma
SRR13496623	cheese canastra	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0271	97.5	0.028	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
SRR13496628	cheese serro	MASTER_WP4_CSIC_2__P2556__bin.21	Candida intermedia	0.3788	100	0.237	99.4	0	149	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR13496628	cheese serro	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.2463	99.64	0.187	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13496628	cheese serro	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.134	98.74	0.069	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR13496628	cheese serro	C-R03.bin.3	Scheffersomyces stipitis	0.0968	99.61	0.058	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR13496628	cheese serro	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	0.0157	100	0.013	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR13496629	cheese serro	C-R03.bin.3	Scheffersomyces stipitis	13.3775	99.9	5.971	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR13496629	cheese serro	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	11.5658	99.58	4.416	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR13496629	cheese serro	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	5.5765	99.71	3.148	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13496629	cheese serro	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.5574	99.63	0.454	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
SRR13496629	cheese serro	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.1116	99.58	0.086	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR13496629	cheese serro	MASTER_WP4_CSIC_2__P2599__bin.11	Candida cabralensis	0.132	98.02	0.078	80	0.5	1508	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR13496629	cheese serro	ODFM-BA-A-0144-001_Penicillium_roqueforti_CECT_2905	Penicillium roqueforti	0.0808	97.74	0.018	100	0	893	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR13496629	cheese serro	MASTER_WP4_CSIC_2__P2556__bin.21	Candida intermedia	0.0375	98.4	0.017	99.4	0	149	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR13496629	cheese serro	KastmanEK_2016__CSB720__bin.5	Scopulariopsis brevicaulis	0.0791	98.15	0.014	93.5	0.6	604	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scopulariopsis
SRR13496631	cheese araxa	C-R03.bin.3	Scheffersomyces stipitis	2.3601	99.96	1.414	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR13496631	cheese araxa	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.4021	99.8	0.256	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR13496631	cheese araxa	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.311	98.82	0.159	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR13496631	cheese araxa	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.2029	99.97	0.154	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13496631	cheese araxa	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.1305	99.77	0.087	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR13496631	cheese araxa	MASTER_WP4_CSIC_2__P2556__bin.21	Candida intermedia	0.08	98.43	0.05	99.4	0	149	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR13496632	cheese araxa	C-R03.bin.3	Scheffersomyces stipitis	40.721	99.99	21	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR13496632	cheese araxa	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	11.0205	99.85	6.356	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR13496632	cheese araxa	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	4.8424	99.78	3.158	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR13496632	cheese araxa	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	1.7809	99.88	1.583	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR13496632	cheese araxa	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.5361	99.88	0.294	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR13496632	cheese araxa	MASTER_WP4_FFoQSI_2__VB10-22__bin.21	unknown spp.	0.1532	100	0.107	78.5	0.5	56	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;unknown
SRR13496632	cheese araxa	MASTER_WP4_TEAGASC_1__TGS02-22__bin.4	Meyerozyma guilliermondii	0.08	98.82	0.053	94.3	0.1	620	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma
SRR13496632	cheese araxa	DuR_2020__DRS139333__bin.13	Wickerhamomyces anomalus	0.0886	97.44	0.049	71	0.6	3628	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces
SRR13496632	cheese araxa	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0421	98.14	0.04	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
SRR13496632	cheese araxa	MASTER_WP4_CSIC_2__P2596__bin.7	Candida atlantica	0.0268	97.65	0.016	94.9	0	371	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma
SRR13708565	pozol	MASTER_WP4_CSIC_2__P2574__bin.32	Candida tropicalis	0.2745	98.9	0.054	95.3	0.3	1169	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR13708565	pozol	LiZ_2018__SRS2920550__bin.14	Aspergillus fumigatus	0.2974	99.53	0.037	68.2	0.3	4059	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR13708565	pozol	MASTER_WP4_TEAGASC_1__TGS07-22__bin.3	Trichosporon asahii	0.2733	99.39	0.035	65	0.5	4078	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon
SRR13708566	pozol	MASTER_WP4_TEAGASC_1__TGS07-22__bin.3	Trichosporon asahii	0.1503	99.62	0.033	65	0.5	4078	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon
SRR13708566	pozol	MASTER_WP4_CSIC_2__P2574__bin.32	Candida tropicalis	0.0844	99.67	0.028	95.3	0.3	1169	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR13801804	kefir	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.6231	99.41	1.137	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
SRR13801804	kefir	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.0624	98	0.088	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR13801805	kefir	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.3584	99.84	0.582	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR13801805	kefir	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.3224	99.26	0.517	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
SRR15925267	keem	MASTER_WP4_CSIC_2__P2574__bin.32	Candida tropicalis	12.2309	99.86	10.585	95.3	0.3	1169	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR15925267	keem	MASTER_WP4_CSIC_2__P2597__bin.1	Pichia kudriavzevii	3.964	99.69	4.525	93.6	0.3	703	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR15925267	keem	AlvarezOrdonezA_xxxx__C05-19__bin.5	Aspergillus glaucus	6.7269	99.16	3.369	60	3.7	3296	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR15925267	keem	LiZ_2018__SRS2920550__bin.19	Rhizomucor pusillus	2.6103	99.34	1.331	92.9	0.4	1633	Mucoromycota;Mucoromycetes;Mucorales;Lichtheimiaceae;Rhizomucor
SRR15925267	keem	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	1.0739	99.07	0.832	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR15925267	keem	GCA_008274985.1_ASM827498v1_genomic	Aspergillus sojae	2.4881	95.58	0.744	100	0	8	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR15925267	keem	MASTER_WP4_TEAGASC_1__TGS02-22__bin.4	Meyerozyma guilliermondii	0.2064	96.26	0.238	94.3	0.1	620	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma
SRR15925267	keem	DuR_2020__DRS139333__bin.13	Wickerhamomyces anomalus	0.1881	98.35	0.184	71	0.6	3628	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Wickerhamomyces
SRR15925267	keem	LiZ_2018__SRS2920550__bin.14	Aspergillus fumigatus	0.1727	96.85	0.093	68.2	0.3	4059	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR15925267	keem	ODFM-BA-A-0193-001_Saccharomyces_cerevisiae_beer44	Saccharomyces cerevisiae	0.0678	96.82	0.068	100	0.21	69	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces
SRR15925267	keem	LeechJ_xxxx__AF17__bin.1	Clavispora lusitaniae	0.0641	97.66	0.065	98.9	0	181	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR15925267	keem	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.0651	96.3	0.063	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR15925267	keem	SternesPR_2017__T1D1_A_shotgun__bin.3	Hanseniaspora opuntiae	0.0416	98.07	0.06	75.6	0.1	892	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora
SRR15925267	keem	LeechJ_xxxx__AF29__bin.14	Candida glabrata	0.0488	95.3	0.049	97.3	1.1	882	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces
SRR15925267	keem	DuR_2020__DRS139335__bin.25	Cyberlindnera fabianii	0.0288	96.21	0.038	65	0	2059	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera
SRR16950696	mustard leaf	LeechJ_2020__ERS3967742__bin.3	Kazachstania barnettii	0.4602	99.79	1.52	93.4	1.4	1616	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR16950696	mustard leaf	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0209	97.98	0.095	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR16950696	mustard leaf	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.023	97.85	0.082	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR16950696	mustard leaf	MASTER_WP4_TEAGASC_1__TGS06-22__bin.9	Saturnispora mendoncae	0.0163	98.43	0.074	89	0.1	540	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora
SRR16950696	mustard leaf	GCA_003243815.1_ASM324381v1_genomic	Candida sake	0.0183	97.31	0.05	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
SRR16950696	mustard leaf	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.012	97.14	0.039	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR16950696	mustard leaf	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.0186	95.72	0.033	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR16950697	mustard leaf	LeechJ_2020__ERS3967742__bin.3	Kazachstania barnettii	0.5871	99.8	1.728	93.4	1.4	1616	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR16950697	mustard leaf	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0277	98.57	0.112	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR16950697	mustard leaf	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.0319	97.63	0.101	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR16950697	mustard leaf	MASTER_WP4_TEAGASC_1__TGS06-22__bin.9	Saturnispora mendoncae	0.0213	98.51	0.086	89	0.1	540	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora
SRR16950697	mustard leaf	GCA_003243815.1_ASM324381v1_genomic	Candida sake	0.0161	98.1	0.039	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
SRR16950697	mustard leaf	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.013	97.35	0.037	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR16950697	mustard leaf	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.015	96.47	0.024	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR16950698	mustard leaf	LeechJ_2020__ERS3967742__bin.3	Kazachstania barnettii	0.612	99.85	1.939	93.4	1.4	1616	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR16950698	mustard leaf	MASTER_WP4_TEAGASC_1__TGS06-22__bin.9	Saturnispora mendoncae	0.0225	98.27	0.097	89	0.1	540	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora
SRR16950698	mustard leaf	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0217	98.88	0.095	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR16950698	mustard leaf	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.0268	97.52	0.091	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR16950698	mustard leaf	GCA_003243815.1_ASM324381v1_genomic	Candida sake	0.0162	97.99	0.042	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
SRR16950698	mustard leaf	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.0079	98.71	0.024	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR17227786	cheese	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	2.5018	99.42	19	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR17227786	cheese	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	1.3381	99.8	13.287	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR17227786	cheese	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0148	99.32	0.207	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR17227786	cheese	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.0017	97.6	0.016	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR17227786	cheese	BertuzziAS_2018__ERS2032125__bin.3	Cyberlindnera jadinii	0.0012	100	0.013	82.7	0.2	2033	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera
SRR17227787	cheese	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	2.107	99.8	27	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR17227787	cheese	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.6986	99.41	6.847	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR17227787	cheese	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0121	99.34	0.219	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR17227787	cheese	BertuzziAS_2018__ERS2032125__bin.3	Cyberlindnera jadinii	0.0031	99.93	0.043	82.7	0.2	2033	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera
SRR17227787	cheese	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.0022	95.98	0.031	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR17227787	cheese	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.0017	96.88	0.02	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR17227788	cheese	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	44.6115	99.82	408	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR17227788	cheese	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	43.6046	99.64	305	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR17227788	cheese	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0804	99.55	1.036	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR17227788	cheese	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.0586	99.88	0.606	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR17227788	cheese	BertuzziAS_2018__ERS2032125__bin.3	Cyberlindnera jadinii	0.0166	99.44	0.161	82.7	0.2	2033	Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera
SRR17227788	cheese	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.0076	99.03	0.066	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR17227788	cheese	MASTER_WP4_UNINA_2__O-30__bin.13	Penicillium camemberti	0.0112	100	0.037	96	0.1	842	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR17227788	cheese	MASTER_WP4_FFoQSI_1__VB-09-BD__bin.42	Fusarium domesticum	0.0084	96.37	0.032	95.6	0.1	799	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium
SRR17227800	cheese	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.5882	99.79	5.963	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR17227800	cheese	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.7539	99.39	5.845	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR17227800	cheese	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1	Pichia membranifaciens group 1	0.0102	99.72	0.146	69	0.1	1866	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
