run_accession	study_accession	study_title	experiment_accession	experiment_title	library_strategy	library_selection	library_layout	instrument_model	instrument_model_desc	run_total_bases	food_name	sample_name	origin	ingredient_group	main_ingredient	food_type
SRR10454516	SRP230115	Sourdough starter samples Raw sequence reads	SRX7149019	shotgun metagenomics: sourdough	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	818517891	sourdough	sourdough	Plant	Grain	wheat	starch-based staple
SRR10454517	SRP230115	Sourdough starter samples Raw sequence reads	SRX7149018	shotgun metagenomics: sourdough	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1687670019	sourdough	sourdough	Plant	Grain	wheat	starch-based staple
SRR10454518	SRP230115	Sourdough starter samples Raw sequence reads	SRX7149017	shotgun metagenomics: sourdough	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	494907779	sourdough	sourdough	Plant	Grain	wheat	starch-based staple
SRR10454519	SRP230115	Sourdough starter samples Raw sequence reads	SRX7149016	shotgun metagenomics: sourdough	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	990158226	sourdough	sourdough	Plant	Grain	wheat	starch-based staple
SRR10454520	SRP230115	Sourdough starter samples Raw sequence reads	SRX7149015	shotgun metagenomics: sourdough	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1090265888	sourdough	sourdough	Plant	Grain	wheat	starch-based staple
SRR10664429	SRP236017	Fermented skate metagenome	SRX7343370	sequences of bacteria	AMPLICON	PCR	PAIRED	Illumina HiSeq 2500	ILLUMINA	14011521502	hongeo	skate_fish	Animal	Seafood	skate	seafood
SRR10664430	SRP236017	Fermented skate metagenome	SRX7343369	sequences of bacteria	AMPLICON	PCR	PAIRED	Illumina HiSeq 2500	ILLUMINA	10428071460	hongeo	skate_fish	Animal	Seafood	skate	seafood
SRR10664431	SRP236017	Fermented skate metagenome	SRX7343368	sequences of bacteria	AMPLICON	PCR	PAIRED	Illumina HiSeq 2500	ILLUMINA	10626427953	hongeo	skate_fish	Animal	Seafood	skate	seafood
SRR10664432	SRP236017	Fermented skate metagenome	SRX7343367	sequences of bacteria	AMPLICON	PCR	PAIRED	Illumina HiSeq 2500	ILLUMINA	13950750719	hongeo	skate_fish	Animal	Seafood	skate	seafood
SRR10664433	SRP236017	Fermented skate metagenome	SRX7343366	sequences of bacteria	AMPLICON	PCR	PAIRED	Illumina HiSeq 2500	ILLUMINA	10289203912	hongeo	skate_fish	Animal	Seafood	skate	seafood
SRR10997046	SRP245673	Genomic Profiling of Microbial and Functional Diversity during Pulque Fermentation	SRX7658134	Metagenomic data from aguamiel samples during pulque fermentation	WGS	PCR	PAIRED	Illumina MiSeq	ILLUMINA	6080266800	pulque	pulque	Plant	Sugar	agave	beverage
SRR10997047	SRP245673	Genomic Profiling of Microbial and Functional Diversity during Pulque Fermentation	SRX7658133	Metagenomic data from aguamiel samples during pulque fermentation	WGS	PCR	PAIRED	Illumina MiSeq	ILLUMINA	7404155158	pulque	pulque	Plant	Sugar	agave	beverage
SRR10997048	SRP245673	Genomic Profiling of Microbial and Functional Diversity during Pulque Fermentation	SRX7658132	Metagenomic data from aguamiel samples during pulque fermentation	WGS	PCR	PAIRED	Illumina MiSeq	ILLUMINA	2258297032	pulque	pulque	Plant	Sugar	agave	beverage
SRR10997049	SRP245673	Genomic Profiling of Microbial and Functional Diversity during Pulque Fermentation	SRX7658131	Metagenomic data from aguamiel samples during pulque fermentation	WGS	PCR	PAIRED	Illumina MiSeq	ILLUMINA	7268197946	pulque	pulque	Plant	Sugar	agave	beverage
SRR10997050	SRP245673	Genomic Profiling of Microbial and Functional Diversity during Pulque Fermentation	SRX7658130	Metagenomic data from aguamiel samples during pulque fermentation	WGS	PCR	PAIRED	Illumina MiSeq	ILLUMINA	5443183305	pulque	pulque	Plant	Sugar	agave	beverage
SRR11036331	SRP247539	Metagenome analysis of tempeh	SRX7688591	Shotgun metagenomic of tempeh	WGS	Restriction Digest	PAIRED	Illumina NovaSeq 6000	ILLUMINA	14401633411	tempeh	soybean	Plant	Legumes	soybean	soybean solids
SRR11036332	SRP247539	Metagenome analysis of tempeh	SRX7688590	Shotgun metagenomic of tempeh	WGS	Restriction Digest	PAIRED	Illumina NovaSeq 6000	ILLUMINA	8804614128	tempeh	soybean	Plant	Legumes	soybean	soybean solids
SRR11602139	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168686	Metagenome from Forastero cocoa beans after 72h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8807741279	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602140	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168685	Metagenome from Criollo cocoa beans after 72h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8141697916	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602141	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168684	Metagenome from Forastero cocoa beans after 48h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	7604670692	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602142	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168683	Metagenome from Criollo cocoa beans after 48h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8474510354	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602143	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168682	Metagenome from Forastero cocoa beans after 24h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8532032326	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602144	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168681	Metagenome from Criollo cocoa beans after 24h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8342176565	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602145	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168680	Metagenome from Criollo cocoa beans after 120h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_2	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8214938859	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602146	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168679	Metagenome from Forastero cocoa beans after 120h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_3	WGS	other	PAIRED	NextSeq 550	ILLUMINA	7195778618	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602147	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168678	Metagenome from Criollo cocoa beans after 120h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_4	WGS	other	PAIRED	NextSeq 550	ILLUMINA	9718066754	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602148	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168677	Metagenome from Criollo cocoa beans after 72h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_4	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8640549739	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602149	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168676	Metagenome from Criollo cocoa beans after 72h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_3	WGS	other	PAIRED	NextSeq 550	ILLUMINA	9465940044	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602150	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168675	Metagenome from Criollo cocoa beans after 48h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_2	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8595361790	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602151	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168674	Metagenome from Forastero cocoa beans after 24h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_2	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8138708994	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602152	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168673	Metagenome from Criollo cocoa beans after 24h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_2	WGS	other	PAIRED	NextSeq 550	ILLUMINA	8199994009	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602153	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168672	Metagenome from Criollo cocoa beans after 120h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_3	WGS	other	PAIRED	NextSeq 550	ILLUMINA	11259658693	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602154	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168671	Metagenome from Criollo cocoa beans after 72h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_2	WGS	other	PAIRED	NextSeq 550	ILLUMINA	9106631505	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602155	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168670	Metagenome from Forastero cocoa beans after 72h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_2	WGS	other	PAIRED	NextSeq 550	ILLUMINA	9429714476	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602156	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168669	Metagenome from Forastero cocoa beans after 120h of fermentation in Mexico harvest under traditional conditions Batch 2_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	13890412041	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11602157	SRP258228	Metagenome (DNAseq) of fermented cocoa beans Criollo and Forastero from Mexico	SRX8168668	Metagenome from Criollo cocoa beans after 120h of fermentation in Mexico harvest under traditional conditions Batch 1_replicate_1	WGS	other	PAIRED	NextSeq 550	ILLUMINA	12640459204	chocolate	cocoa	Plant	Cocoa_Coffee	cocoa bean	chocolate
SRR11605259	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171769	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2192242200	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605261	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171767	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1953684300	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605262	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171766	dietary supplement metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1724835000	probiotics	dietary_supplement	Microbial	Microbial	microbes	probiotics
SRR11605263	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171765	dietary supplement metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2335372200	probiotics	probiotics	Microbial	Microbial	microbes	probiotics
SRR11605264	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171764	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2846002200	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605265	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171763	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1845219900	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605266	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171762	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2320354200	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605267	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171761	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1602546300	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605268	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171760	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1589190300	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605269	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171759	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1480280700	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605270	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171758	dietary supplement metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2414095200	probiotics	probiotics	Microbial	Microbial	microbes	probiotics
SRR11605271	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171757	dietary supplement metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2176721700	probiotics	probiotics	Microbial	Microbial	microbes	probiotics
SRR11605273	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171755	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	2239605900	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11605274	SRP258112	Yogurt and dietary supplement metagenomes	SRX8171754	yogurt metagenome	WGS	RANDOM	PAIRED	NextSeq 500	ILLUMINA	1897314300	yogurt	yogurt	Animal	Dairy	milk	yogurt
SRR11909515	SRP265664	Kombucha on Space/Mars conditions  (top level of the sample carrier at the ISS)	SRX8456073	Metagenome of Kombucha Microbial Community after Reactivated	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	6054180300	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR11909516	SRP265664	Kombucha on Space/Mars conditions  (top level of the sample carrier at the ISS)	SRX8456072	Metagenome of Kombucha Microbial Community	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	11324757000	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR11909887	SRP265673	Kombucha on Space/Mars conditions (middle level of the sample carrier of the ISS)	SRX8456445	Metagenome of Kombucha Microbial Community after Reactivated	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	9360503100	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR11909888	SRP265673	Kombucha on Space/Mars conditions (middle level of the sample carrier of the ISS)	SRX8456444	Metagenome of Kombucha Microbial Community	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	8016047700	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR11910535	SRP265684	Kombucha on Space/Mars conditions (bottom level of the sample carrier of the ISS)	SRX8457093	Metagenome of Kombucha Microbial Community after Reactivated	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	6125268300	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR11910536	SRP265684	Kombucha on Space/Mars conditions (bottom level of the sample carrier of the ISS)	SRX8457092	Metagenome of Kombucha Microbial Community	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	9357408300	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR11916018	SRP265781	Kombucha on Space/Mars conditions (laboratory reference)	SRX8462536	Metagenome of Kombucha Microbial Community after Reactivated	OTHER	RANDOM	PAIRED	Illumina HiSeq 2500	ILLUMINA	10994594400	tea fermented	tea	Plant	Botanical	tea leaves	beverage
SRR12227952	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736555	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 30 days of fermentation Batch Z	WGS	other	PAIRED	NextSeq 550	ILLUMINA	6546732900	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227953	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736554	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 4 days of fermentation Batch Y	WGS	other	PAIRED	NextSeq 550	ILLUMINA	4075872000	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227955	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736552	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 4 days of fermentation Batch Z	WGS	other	PAIRED	NextSeq 550	ILLUMINA	4095381000	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227956	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736551	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 50 days of fermentation Batch Y	WGS	other	PAIRED	NextSeq 550	ILLUMINA	5363745300	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227957	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736550	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 50 days of fermentation Batch X	WGS	other	PAIRED	NextSeq 550	ILLUMINA	6512379900	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227958	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736549	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 50 days of fermentation Batch Z	WGS	other	PAIRED	NextSeq 550	ILLUMINA	5373436200	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227959	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736548	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 8 days of fermentation Batch Y	WGS	other	PAIRED	NextSeq 550	ILLUMINA	414869100	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227960	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736547	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 15 days of fermentation Batch Y	WGS	other	PAIRED	NextSeq 550	ILLUMINA	4430032800	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227961	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736546	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 15 days of fermentation Batch X	WGS	other	PAIRED	NextSeq 550	ILLUMINA	5213754600	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227962	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736545	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 15 days of fermentation Batch Z	WGS	other	PAIRED	NextSeq 550	ILLUMINA	5894395200	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227963	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736544	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 30 days of fermentation Batch Y	WGS	other	PAIRED	NextSeq 550	ILLUMINA	5201430000	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227964	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736543	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 30 days of fermentation Batch X	WGS	other	PAIRED	NextSeq 550	ILLUMINA	5500875600	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227965	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736542	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 8 days of fermentation Batch X	WGS	other	PAIRED	NextSeq 550	ILLUMINA	3842340900	sausage italian	meat	Animal	Meat	pork	sausage
SRR12227966	SRP272053	Metagenome (DNAseq) of italian fermented sausages	SRX8736541	Metagenome of sausages filtered from Sus Scrofa sequence using Bowtie2 in end-to-end sensitive mode after 8 days of fermentation Batch Z	WGS	other	PAIRED	NextSeq 550	ILLUMINA	3956312400	sausage italian	meat	Animal	Meat	pork	sausage
SRR13259372	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690113	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	25208793767	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259373	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690112	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	19784420622	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259374	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690111	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	18272819721	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259375	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690110	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	22348581122	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259376	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690109	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	24556488160	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259377	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690108	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	20865062277	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259378	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690107	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	21446370496	cheese	cheese	Animal	Dairy	milk	cheese
SRR13259379	SRP298131	Study on the Influence of Microorganisms in cheese on Flavor in different regions	SRX9690106	Illumina Hiseq 2000: cheese	WGS	RANDOM	PAIRED	Illumina HiSeq 2000	ILLUMINA	20409311801	cheese	cheese	Animal	Dairy	milk	cheese
SRR13308520	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736529	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	28475560235	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308521	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736528	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	34553734665	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308522	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736527	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	38181990695	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308523	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736526	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	35000639484	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308524	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736525	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	32904458713	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308525	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736524	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	38385172842	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308526	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736523	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	31538686816	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308527	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736522	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	36382157094	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308528	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736521	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	35050670797	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308529	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736520	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	34448864809	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308530	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736519	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	30143169040	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308531	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736518	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	24331096790	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308532	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736517	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	36911829097	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308533	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736516	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	42756710383	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308534	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736515	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	38072235176	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308535	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736514	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	32734471203	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308537	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736512	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	33275283049	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308538	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736511	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	33871099239	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308539	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736510	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	31012818098	koumiss	koumiss	Animal	Dairy	milk horse	beverage
SRR13308540	SRP299624	Deep sequencing characterization of low complexity data set of Food Microbiome	SRX9736509	WGS of Koumiss	WGS	RANDOM	PAIRED	Illumina HiSeq 4000	ILLUMINA	33435846471	koumiss	koumiss	Animal	Dairy	milk horse	beverage
